,smile
378,COc1ccc(S(=O)(=O)N(C)C2CCCCC2)cc1
379,CCN(c1ccccc1)S(=O)(=O)c1ccc(OC)cc1
380,O=S(=O)(Nc1ccccc1)c1ccc(F)cc1
381,Cc1ccccc1NS(=O)(=O)c1ccc(F)cc1
382,O=S(=O)(NCCc1ccccc1)c1ccc(F)cc1
383,CC1CCCCN1S(=O)(=O)c1ccc(F)cc1
384,CC(C)N(Cc1ccccc1)C(=O)c1ccccc1
385,O=C(c1ccc(Cl)cc1)N1CCc2ccccc2C1
386,CCN(Cc1ccccc1)C(=O)c1ccc(OC)cc1
387,CCN(C(=O)c1ccc(OC)cc1)C1CCCCC1
388,O=C(c1ccccc1Cl)N1CCc2ccccc2C1
389,O=C(NCc1ccccn1)c1ccc(Cl)cc1Cl
390,O=C(NCC1CCCO1)c1ccc(Cl)cc1Cl
391,COc1ccc(CNC(=O)c2ccccc2Br)cc1
392,COc1ccccc1CNC(=O)c1ccccc1Br
393,CC1CCCN(C(=O)c2ccccc2Br)C1
394,CC1CC(C)CN(C(=O)c2ccccc2Br)C1
395,O=C(c1ccccc1Br)N1CCCCC1CO
396,COC(=O)c1cc(NC(=O)Cc2ccccc2)cc(C(=O)OC)c1
397,CCOc1ccccc1NC(=O)Cc1ccc(OC)cc1
398,COc1ccc(CC(=O)N(C)c2ccccc2)cc1
399,COc1ccc(CC(=O)N2CC(C)CC(C)C2)cc1
400,CCOc1ccc(NC(=O)c2c(OC)cccc2OC)cc1
401,COc1ccc(CNC(=O)c2c(OC)cccc2OC)cc1
402,COc1cccc(OC)c1C(=O)N(Cc1ccccc1)C(C)C
403,COc1cccc(OC)c1C(=O)N1CCN(c2ccc(F)cc2)CC1
404,C=CCN(CC=C)C(=O)c1c(OC)cccc1OC
405,Cc1cccc(C(=O)N2CCc3ccccc3C2)c1
406,O=C(Nc1cc(C(F)(F)F)ccc1Cl)c1cccnc1
407,O=C(Nc1cccc(C(F)(F)F)c1)c1cccnc1
408,O=C(Nc1cc(Cl)ccc1Cl)c1cccnc1
409,O=C(Nc1ccc(Cl)c(Cl)c1)c1cccnc1
410,O=C(Nc1cc(Cl)cc(Cl)c1)c1cccnc1
411,O=C(Nc1cccc(Cl)c1Cl)c1cccnc1
412,O=C(Nc1ccc(Cl)cc1Cl)c1cccnc1
413,COc1ccc(NC(=O)c2cccnc2)c(OC)c1
414,O=C(NCc1ccccn1)c1cccc(C(=O)NCc2ccccn2)c1
415,O=C(NCC1CCCO1)c1cccc(C(=O)NCC2CCCO2)c1
416,COc1ccc(Cl)cc1NC(=O)c1cccs1
417,COc1ccc(OC)c(NC(=O)c2cccs2)c1
418,CC(C)N(Cc1ccccc1)C(=O)c1cccs1
419,COC(=O)c1ccc(C(=O)OC)c(NC(=O)c2cccs2)c1
420,O=C(c1cccs1)N1CCN(c2ccc(F)cc2)CC1
421,CCOC(=O)N1CCN(C(=O)c2cccs2)CC1
422,O=C(c1cccs1)N(Cc1ccccc1)c1ccccn1
423,CC1CCCN(C(=O)c2ccc(C(=O)N3CCCC(C)C3)cc2)C1
424,O=C(NCc1ccccn1)c1ccc(C(=O)NCc2ccccn2)cc1
425,COc1ccccc1CNS(=O)(=O)c1ccccc1
426,CCN(Cc1ccccc1)S(=O)(=O)c1ccccc1
427,O=S(=O)(c1ccccc1)N(CCO)Cc1ccccc1
428,O=S(=O)(c1ccccc1)N(CCO)C1CCCCC1
429,COc1ccc(CNS(=O)(=O)c2ccc(Cl)cc2)cc1
430,CCN(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1
431,COc1ccccc1N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1
432,C=CCN(CC=C)S(=O)(=O)c1ccc(C)cc1
433,Cc1ccc(S(=O)(=O)N2CCCC(C)C2)cc1
434,Cc1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1
435,COc1ccc(S(=O)(=O)N(CCO)Cc2ccccc2)cc1
436,COc1ccc(S(=O)(=O)N(CCO)C2CCCCC2)cc1
437,C=CCN(CC=C)S(=O)(=O)c1ccc(OC)cc1
438,COc1ccc(S(=O)(=O)N2CCCC(C)C2)cc1
439,COc1ccc(S(=O)(=O)NCc2ccccn2)cc1
440,COc1ccc(S(=O)(=O)NCC2CCCO2)cc1
441,Cc1cc(C)c(S(=O)(=O)N(CCO)Cc2ccccc2)c(C)c1
442,Cc1cc(C)c(S(=O)(=O)NCC(C)C)c(C)c1
443,CCC(C)NS(=O)(=O)c1c(C)cc(C)cc1C
444,Cc1cc(C)c(S(=O)(=O)NCc2ccccn2)c(C)c1
445,Cc1cc(C)c(S(=O)(=O)NCC2CCCO2)c(C)c1
446,O=S(=O)(Nc1ccccc1F)c1ccc(F)cc1
447,COc1ccc(CNS(=O)(=O)c2ccc(F)cc2)cc1
448,COc1ccccc1CNS(=O)(=O)c1ccc(F)cc1
449,CCN(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1
450,CN(c1ccccc1)S(=O)(=O)c1ccc(F)cc1
451,O=S(=O)(c1ccc(F)cc1)N(CCO)Cc1ccccc1
452,C=CCN(CC=C)S(=O)(=O)c1ccc(F)cc1
453,CC(NS(=O)(=O)c1ccc(F)cc1)c1ccccc1
454,CC1CCCN(S(=O)(=O)c2ccc(F)cc2)C1
455,O=S(=O)(NCC1CCCO1)c1ccc(F)cc1
456,CCC(C)NS(=O)(=O)c1cc(Cl)ccc1Cl
457,CS(=O)(=O)Nc1cc(C(F)(F)F)ccc1Cl
458,COc1cc(NS(C)(=O)=O)c(OC)cc1Cl
459,CS(=O)(=O)Nc1ccc(OCc2ccccc2)cc1
460,CS(=O)(=O)N1CCN(c2cccc(Cl)c2)CC1
461,CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1
462,COc1ccccc1N1CCN(S(C)(=O)=O)CC1
463,CCN(CC)C(=O)c1ccccc1Br
464,COc1ccc(CC(=O)Nc2ccccc2OC)cc1
465,COc1ccccc1NC(=O)c1c(OC)cccc1OC
466,COc1ccc(NC(=O)c2c(OC)cccc2OC)cc1
467,O=C(Nc1ccc(Br)cc1)c1cccnc1
468,CCN(CC)C(=O)c1cccc(C(=O)N(CC)CC)c1
469,CCN(CC)C(=O)c1ccc(C(=O)N(CC)CC)cc1
470,O=S(=O)(NCc1ccccc1)c1ccc(Cl)cc1
471,CCN(CC)S(=O)(=O)c1c(C)cc(C)cc1C
472,Cc1cccc(NS(=O)(=O)c2ccc(F)cc2)c1
473,CS(=O)(=O)NC(c1ccccc1)c1ccccc1
474,CCOC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1
475,CCOC(=O)C1CCN(C(=O)c2ccc(OC)cc2)CC1
476,CCOC(=O)C1CCN(C(=O)c2ccccc2Cl)CC1
477,CCOC(=O)C1CCN(C(=O)c2ccc(Cl)cc2Cl)CC1
478,COc1ccc(CC(=O)N2CCc3ccccc32)cc1
479,O=C(c1cccnc1)N1CCC(Cc2ccccc2)CC1
480,O=C(NCc1cccnc1)c1cccc(C(=O)NCc2cccnc2)c1
481,O=C(NCc1cccnc1)c1ccc(C(=O)NCc2cccnc2)cc1
482,COc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1
483,CCC1CCCCN1S(=O)(=O)c1ccc(F)cc1
484,CN(Cc1ccccc1)S(=O)(=O)c1ccc(F)cc1
485,CC(=O)Nc1cccc(NC(=O)c2ccccc2)c1
486,CC1CN(C(=O)c2ccc(Br)cc2)CC(C)O1
487,CC(=O)Nc1cccc(NC(=O)c2ccc(C)cc2)c1
488,CC(=O)Nc1cccc(NC(=O)c2ccc(Cl)cc2)c1
489,COc1ccc(C(=O)Nc2cccc(NC(C)=O)c2)cc1
490,CC(=O)Nc1cccc(NC(=O)c2ccc(Cl)cc2Cl)c1
491,CC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1
492,COC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1
493,COC(=O)c1ccc(NC(=O)c2ccccc2C)cc1
494,COc1cccc(OC)c1C(=O)N1CCOCC1
495,O=C(Nc1ccncc1)c1cccc(C(=O)Nc2ccncc2)c1
496,Cc1cccnc1NC(=O)c1cccc(C(=O)Nc2ncccc2C)c1
497,O=C(Nn1cnnc1)c1cccc(C(=O)Nn2cnnc2)c1
498,CC(=O)Nc1cccc(NC(=O)c2cccs2)c1
499,O=C(Nc1ccncc1)c1ccc(C(=O)Nc2ccncc2)cc1
500,O=C(Nc1cccnc1)c1ccc(C(=O)Nc2cccnc2)cc1
501,Cc1ccc(S(=O)(=O)Nc2cccc(F)c2)cc1
502,COc1ccc(S(=O)(=O)Nc2cccc(NC(C)=O)c2)cc1
503,COc1ccc(S(=O)(=O)Nc2ncccn2)cc1
504,COC(=O)CNS(=O)(=O)c1c(C)cc(C)cc1C
505,CC(=O)Nc1cccc(NS(=O)(=O)c2c(C)cc(C)cc2C)c1
506,O=S(=O)(Nc1cccc(F)c1)c1ccc(F)cc1
507,CC1CN(S(=O)(=O)c2ccc(F)cc2)CC(C)O1
508,O=S(=O)(N=c1cccc[nH]1)c1cc(Cl)ccc1Cl
509,COC(=O)CNS(=O)(=O)c1cc(Cl)ccc1Cl
510,Cc1cc(Br)ccc1NS(C)(=O)=O
511,CCOc1ccccc1NS(=O)(=O)c1ccc(NC(C)=O)cc1
512,COc1ccccc1CNS(=O)(=O)c1ccc(NC(C)=O)cc1
513,CC(=O)Nc1ccc(S(=O)(=O)N(Cc2ccccc2)C(C)C)cc1
514,CC(=O)Nc1ccc(S(=O)(=O)N(C)c2ccccc2)cc1
515,CCC(C)NS(=O)(=O)c1ccc(NC(C)=O)cc1
516,CC(=O)Nc1ccc(S(=O)(=O)NC2CCCCCC2)cc1
517,CC(=O)Nc1ccc(S(=O)(=O)NCCc2ccccc2)cc1
518,COC(=O)c1ccc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)cc1
519,CC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(NC(C)=O)c2)cc1
520,O=C(c1cccc(Cl)c1)N1CCc2ccccc2C1
521,CC(=O)Nc1cccc(NC(=O)c2cccc(Cl)c2)c1
522,O=C(c1ccccc1F)N1CCc2ccccc2C1
523,COC(=O)c1ccc(NC(=O)c2ccccc2F)cc1
524,CC(=O)Nc1cccc(NC(=O)c2ccccc2F)c1
525,O=C(c1ccc(F)cc1)N1CCc2ccccc2C1
526,CCOC(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1
527,COc1cc(NC(=O)C(C)C)c(OC)cc1Cl
528,COC(=O)c1ccc(C(=O)OC)c(NC(=O)C(C)C)c1
529,COC(=O)c1cc(NC(=O)C(C)C)cc(C(=O)OC)c1
530,CC(C)C(=O)N(Cc1ccccc1)c1ccccn1
531,O=S(=O)(Cc1ccccc1)Nc1ccccc1F
532,O=S(=O)(Cc1ccccc1)Nc1ccc(F)cc1
533,CCOc1ccc(NS(=O)(=O)Cc2ccccc2)cc1
534,COc1ccccc1CNS(=O)(=O)Cc1ccccc1
535,CN(c1ccccc1)S(=O)(=O)Cc1ccccc1
536,COc1ccccc1N1CCN(S(=O)(=O)Cc2ccccc2)CC1
537,C=CCN(CC=C)S(=O)(=O)Cc1ccccc1
538,CC(NS(=O)(=O)Cc1ccccc1)c1ccccc1
539,O=S(=O)(Cc1ccccc1)NCc1ccccn1
540,O=S(=O)(Cc1ccccc1)NC1CCCCCC1
541,O=S(=O)(Cc1ccccc1)N1CCCCCC1
542,O=S(=O)(Cc1ccccc1)N1CCc2ccccc2C1
543,CCCN(CCC)S(=O)(=O)Cc1ccccc1
544,O=S(=O)(Cc1ccccc1)NC1CCCCC1
545,O=S(=O)(Cc1ccccc1)NCc1ccccc1
546,COc1ccc(NS(=O)(=O)Cc2ccccc2)cc1
547,CN(Cc1ccccc1)S(=O)(=O)Cc1ccccc1
548,CN(C1CCCCC1)S(=O)(=O)Cc1ccccc1
549,Cc1ccccc1NS(=O)(=O)Cc1ccccc1
550,CCN(c1ccccc1)S(=O)(=O)Cc1ccccc1
551,CCOC(=O)c1ccccc1NS(=O)(=O)Cc1ccccc1
552,O=S(=O)(Cc1ccccc1)Nc1nc2ccccc2s1
553,CC(=O)Nc1cccc(NS(=O)(=O)Cc2ccccc2)c1
554,O=S(=O)(Nc1cccnc1)c1ccc(Br)cc1
555,COC(=O)CNS(=O)(=O)c1ccc(Br)cc1
556,O=C(c1cccc(Br)c1)N1CCc2ccccc2C1
557,O=C(Nc1ccccn1)c1cccc(Br)c1
558,O=C(c1cccc(Br)c1)N1CCOCC1
559,C=CCN(CC=C)C(=O)c1ccc(Cl)c(Cl)c1
560,O=C(NCC1CCCO1)c1ccc(Cl)c(Cl)c1
561,COC(=O)CNC(=O)c1ccc(Cl)c(Cl)c1
562,O=C(c1ccc(Cl)c(Cl)c1)N1CCOCC1
563,COc1ccc(CNC(=O)c2ccc(OC)cc2OC)cc1
564,C=CCN(CC=C)C(=O)c1ccc(OC)cc1OC
565,COc1ccc(C(=O)NCc2ccccc2)c(OC)c1
566,COc1ccc(C(=O)N2CCCCC2C)c(OC)c1
567,COc1ccc(C(=O)N2CC(C)OC(C)C2)c(OC)c1
568,CCc1cccc(C)c1NC(=O)c1ccc(OC)c(OC)c1
569,COc1ccc(C(=O)N2CCCC(C)C2)cc1OC
570,COc1ccc(C(=O)NCC2CCCO2)cc1OC
571,CCN(C(=O)c1ccc(OC)c(OC)c1)c1ccccc1C
572,COc1ccc(C(=O)N2CCc3ccccc3C2)cc1OC
573,COc1ccc(C(=O)NCc2ccccc2)cc1OC
574,COc1ccc(C(=O)N2CCc3ccccc32)cc1OC
575,COc1ccc(C(=O)N2CCC(Cc3ccccc3)CC2)cc1OC
576,CCOC(=O)C1CCN(C(=O)c2ccc(OC)c(OC)c2)CC1
577,COc1ccc(C(=O)Nc2ncccc2C)cc1OC
578,COc1ccc(C(=O)NCc2ccc(C)cc2)cc1OC
579,COc1ccc(CNC(=O)c2cc(OC)cc(OC)c2)cc1
580,COc1cc(OC)cc(C(=O)NCC2CCCO2)c1
581,CCCN(CCC)C(=O)c1cc(OC)cc(OC)c1
582,COc1cc(OC)cc(C(=O)Nc2ccc(F)c(F)c2)c1
583,COC(=O)CNC(=O)c1cc(OC)cc(OC)c1
584,COc1ccc(CNC(=O)c2ccc(C)c(C)c2)cc1
585,Cc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1C
586,Cc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1C
587,Cc1ccc(C(=O)N(C)Cc2ccccc2)cc1C
588,CCOc1ccc(C(=O)Nc2cccc(OC)c2)cc1
589,CCOc1ccc(C(=O)NCc2ccccc2OC)cc1
590,CCOc1ccc(C(=O)N(CC)Cc2ccccc2)cc1
591,CCOc1ccc(C(=O)N2CC(C)CC(C)C2)cc1
592,CCOc1ccc(C(=O)N2CCc3ccccc3C2)cc1
593,CCOc1ccc(C(=O)NCc2ccccc2)cc1
594,CCOc1ccc(C(=O)Nc2ccccc2OC)cc1
595,CCOc1ccc(C(=O)N2CCc3ccccc32)cc1
596,CCOC(=O)C1CCN(C(=O)c2ccc(OCC)cc2)CC1
597,CCOc1ccc(C(=O)NCCc2ccccc2)cc1
598,O=C(Nc1cc(Cl)ccc1Cl)c1ccco1
599,O=C(Nc1cccc(Cl)c1Cl)c1ccco1
600,COC(=O)c1ccccc1NC(=O)c1cccc(OC)c1
601,CCOC(=O)c1ccc(NC(=O)c2cccc(OC)c2)cc1
602,COc1cccc(C(=O)NC(C)c2ccccc2)c1
603,COc1cccc(C(=O)NCc2ccc(C)cc2)c1
604,COC(=O)c1ccc(NC(=O)c2ccc(N(C)C)cc2)cc1
605,Cc1ccc(CNC(=O)c2ccc(N(C)C)cc2)cc1
606,CC(=O)Oc1ccc(C(=O)NCC2CCCO2)cc1
607,CCCN(CCC)C(=O)c1ccc(OC(C)=O)cc1
608,CC(=O)Oc1ccc(C(=O)NCc2cccnc2)cc1
609,CC(=O)Oc1ccc(C(=O)Nc2cccc(C)n2)cc1
610,CC(=O)Nc1ccc(C(=O)Nc2cc(Cl)cc(Cl)c2)cc1
611,CC(=O)Nc1ccc(C(=O)Nc2cccc(C)c2C)cc1
612,CCOc1ccccc1NC(=O)c1ccc(NC(C)=O)cc1
613,CC(=O)Nc1ccc(C(=O)Nc2ccccc2C(C)C)cc1
614,CC(=O)Nc1ccc(C(=O)N(C)c2ccccc2)cc1
615,CCOC(=O)c1ccc(NC(=O)c2ccc(NC(C)=O)cc2)cc1
616,CC(=O)Nc1ccc(C(=O)NC2CCCCCC2)cc1
617,CCN(C(=O)c1ccc(NC(C)=O)cc1)c1ccccc1C
618,CC(=O)Nc1ccc(C(=O)NC2CCCCC2)cc1
619,CC(=O)Nc1ccc(C(=O)Nc2cccc(C)c2)cc1
620,COc1ccccc1NC(=O)c1ccc(NC(C)=O)cc1
621,CC(=O)Nc1ccc(C(=O)N2CCC(Cc3ccccc3)CC2)cc1
622,CC(=O)Nc1ccc(C(=O)N(C)Cc2ccccc2)cc1
623,CC(=O)Nc1ccc(C(=O)Nc2ccccc2C)cc1
624,CC(=O)Nc1ccc(C(=O)Nc2ccc(C)cc2C)cc1
625,CCN(C(=O)c1ccc(NC(C)=O)cc1)c1ccccc1
626,CC(=O)Nc1ccc(C(=O)N2CCCCC2C)cc1
627,C=CCN(CC=C)C(=O)c1ccccc1OC(C)=O
628,CC(=O)Oc1ccccc1C(=O)N1CC(C)CC(C)C1
629,CC(=O)Oc1ccccc1C(=O)NCC1CCCO1
630,CCOC(=O)C1CCN(C(=O)c2ccccc2OC(C)=O)CC1
631,CC(=O)Oc1ccccc1C(=O)Nc1ccccc1C
632,CC(=O)Oc1ccccc1C(=O)NCCc1ccccc1
633,CC(=O)Oc1ccccc1C(=O)N1CC(C)OC(C)C1
634,CC(C)(C)c1ccc(C(=O)NCc2cccnc2)cc1
635,CC1CCCN(C(=O)c2cc(Cl)ccc2Cl)C1
636,O=C(Nc1cccnc1)c1cc(Cl)ccc1Cl
637,CC(=O)Nc1cccc(NC(=O)c2cc(Cl)ccc2Cl)c1
638,CC1CN(C(=O)c2cc(Cl)ccc2Cl)CC(C)O1
639,CC1CCCN(C(=O)c2c(Cl)cccc2Cl)C1
640,CC(=O)Nc1cccc(NC(=O)c2c(Cl)cccc2Cl)c1
641,O=C(c1c(Cl)cccc1Cl)N1CCOCC1
642,CC1CN(C(=O)c2c(Cl)cccc2Cl)CC(C)O1
643,CCOc1ccc(C(=O)Nc2ccccc2OC)cc1OCC
644,CCOc1ccc(C(=O)N2CC(C)OC(C)C2)cc1OCC
645,COc1ccc(CC(=O)Nc2ccccc2C(F)(F)F)cc1OC
646,CCc1cccc(C)c1NC(=O)Cc1ccc(OC)c(OC)c1
647,COc1ccc(NC(=O)Cc2ccc(OC)c(OC)c2)c(OC)c1
648,COc1ccc(CC(=O)N2CCCCCC2)cc1OC
649,COc1ccccc1NC(=O)Cc1ccc(OC)c(OC)c1
650,COc1ccc(CC(=O)N2CCc3ccccc32)cc1OC
651,O=C(CC(c1ccccc1)c1ccccc1)NCc1ccccn1
652,O=C(CC(c1ccccc1)c1ccccc1)NCC1CCCO1
653,O=C(CC(c1ccccc1)c1ccccc1)Nc1ccncc1
654,O=C(CC(c1ccccc1)c1ccccc1)Nc1cccnc1
655,CCc1cccc(C)c1NC(=O)Cc1ccccc1OC
656,COc1ccccc1CC(=O)Nc1ccc(C)cc1
657,COc1ccccc1CC(=O)N1CC(C)OC(C)C1
658,O=C(Nc1ccccc1F)c1ccc2c(c1)OCO2
659,CCc1cccc(C)c1NC(=O)c1ccc2c(c1)OCO2
660,COc1cccc(NC(=O)c2ccc3c(c2)OCO3)c1
661,O=C(Nc1ccc(F)cc1)c1ccc2c(c1)OCO2
662,CCOc1ccccc1NC(=O)c1ccc2c(c1)OCO2
663,CCOc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1
664,COC(=O)c1ccccc1NC(=O)c1ccc2c(c1)OCO2
665,CC(NC(=O)c1ccc2c(c1)OCO2)c1ccccc1
666,O=C(NCc1ccccn1)c1ccc2c(c1)OCO2
667,O=C(c1ccc2c(c1)OCO2)N(Cc1ccccc1)c1ccccn1
668,O=C(c1ccc2c(c1)OCO2)N1CCc2ccccc2C1
669,O=C(Nc1ccc(Cl)cc1)c1ccc2c(c1)OCO2
670,COc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1
671,COc1ccccc1NC(=O)c1ccc2c(c1)OCO2
672,O=C(c1ccc2c(c1)OCO2)N1CCc2ccccc21
673,O=C(c1ccc2c(c1)OCO2)N1CCC(Cc2ccccc2)CC1
674,CN(Cc1ccccc1)C(=O)c1ccc2c(c1)OCO2
675,O=C(NCCc1ccccc1)c1ccc2c(c1)OCO2
676,O=C(Nc1cccc(Br)c1)c1ccc2c(c1)OCO2
677,CCOc1cc(C(=O)N(C)C)cc(OCC)c1OCC
678,CCN(Cc1ccccc1)C(=O)c1cc(OC)c(OC)c(OC)c1
679,COc1cc(C(=O)NCc2cccnc2)cc(OC)c1OC
680,COc1cc(C(=O)N(C)Cc2ccccc2)cc(OC)c1OC
681,COc1cc(C(=O)Nc2cccc(F)c2)cc(OC)c1OC
682,CCN(CC)C(=O)C1c2ccccc2Oc2ccccc21
683,COc1ccc(CNC(=O)N2CCOCC2)cc1
684,COc1ccccc1CNC(=O)N1CCOCC1
685,CCC(C)c1ccc(NC(=O)N2CCOCC2)cc1
686,CCOC(=O)N1CCN(C(=O)N2CCOCC2)CC1
687,O=C(N1CCOCC1)N1CCC(Cc2ccccc2)CC1
688,CCOC(=O)C1CCN(C(=O)N2CCOCC2)CC1
689,COc1ccc(C)cc1NS(=O)(=O)Cc1ccccc1
690,COc1ccc(C)cc1NC(=O)c1ccc(OC(C)=O)cc1
691,COc1ccc(C)cc1NC(=O)c1ccccc1OC(C)=O
692,COc1ccc(S(=O)(=O)N=c2ccc(C)c[nH]2)cc1
693,CC(=O)Nc1ccc(S(=O)(=O)N=c2ccc(C)c[nH]2)cc1
694,Cc1ccc(=NS(=O)(=O)c2ccc(Br)cc2)[nH]c1
695,COc1ccc(C(=O)Nc2ccc(C)cn2)c(OC)c1
696,COc1ccc(C(=O)Nc2ccc(C)cn2)cc1OC
697,COc1cc(OC)cc(C(=O)Nc2ccc(C)cn2)c1
698,CC(=O)Nc1ccc(C(=O)Nc2ccc(C)cn2)cc1
699,Cc1ccc(NC(=O)c2ccc3c(c2)OCO3)nc1
700,COc1ccc(S(=O)(=O)Nc2ccc(C#N)cc2)cc1
701,COc1cc(C(=O)Nc2ccccc2C#N)cc(OC)c1OC
702,CC(=O)Oc1ccc(C(=O)Nc2ccc(C#N)cc2)cc1
703,Cc1ccc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1C
704,NS(=O)(=O)c1ccc(NC(=O)c2ccco2)cc1
705,NS(=O)(=O)c1ccc(NC(=O)c2cc(Cl)ccc2Cl)cc1
706,CC(=O)Nc1ccc(NC(=O)c2ccc(N(C)C)cc2)cc1
707,CC(=O)Nc1ccc(NC(=O)N2CCOCC2)cc1
708,CC(=O)Oc1ccc(C(=O)Nc2cc(Cl)ccc2C)cc1
709,O=S(=O)(NCc1ccncc1)c1ccc(Br)cc1
710,NC(=O)c1ccccc1NC(=O)Cc1ccccc1
711,NC(=O)c1ccccc1NS(=O)(=O)Cc1ccccc1
712,NC(=O)c1ccccc1NC(=O)c1cccc(Br)c1
713,Cc1ccc(C(=O)Nc2ccc(C(N)=O)cc2)cc1C
714,CC(=O)Nc1ccc(C(=O)Nc2ccc(C(N)=O)cc2)cc1
715,CC(=O)Oc1ccccc1C(=O)Nc1ccc(C(N)=O)cc1
716,NC(=O)c1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1
717,COc1ccccc1CC(=O)Nc1ccc(C(N)=O)cc1
718,NS(=O)(=O)c1ccc(CNC(=O)c2ccccc2Cl)cc1
719,NS(=O)(=O)c1ccc(CNC(=O)c2cccs2)cc1
720,CC(=O)Nc1ccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1
721,CC(C)(C)c1ccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1
722,CN(C)c1cccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)c1
723,CCCC(C)NS(=O)(=O)c1ccc(OC)cc1
724,CCCC(C)NS(=O)(=O)c1ccc(NC(C)=O)cc1
725,CCCC(C)NC(=O)c1ccc(OC)c(OC)c1
726,Cc1cc2ncn(C(=O)N3CCOCC3)c2cc1C
727,Cc1cc(C)c(NC(=O)c2ccc(N(C)C)cc2)c(C)c1
728,CC(=O)Nc1ccc(C(=O)Nc2c(C)cc(C)cc2C)cc1
729,COc1ccccc1CC(=O)Nc1c(C)cc(C)cc1C
730,COc1ccc(S(=O)(=O)NCCC(C)C)cc1
731,CC(=O)Nc1ccc(S(=O)(=O)NCCC(C)C)cc1
732,CC(C)CCNS(=O)(=O)c1ccc(Br)cc1
733,COc1ccc(Cl)cc1C(=O)Nn1cnnc1
734,COc1cc(SC)ccc1C(=O)NC(C)(C)C
735,O=C(Cc1cccs1)N1CCN(c2ccccc2)CC1
736,CCC(C)(C)C(=O)N1CCN(c2ccccc2)CC1
737,CN(C)S(=O)(=O)N1CCN(c2ccccc2)CC1
738,COc1cc(SC)ccc1C(=O)N1CCN(c2ccccc2)CC1
739,COc1ccc(Cl)cc1C(=O)NCc1ccccn1
740,COc1ccc(NC(=O)Cc2cccs2)c(OC)c1
741,CCCC(C)C(=O)Nc1ccc(OC)cc1OC
742,O=C(Cc1ccc(Br)cc1)NCC1CCCO1
743,CC1CCCN(C(=O)Cc2ccc(Cl)cc2)C1
744,CC(C)N(Cc1ccccc1)S(=O)(=O)N(C)C
745,CC(C)N(Cc1ccccc1)C(=O)COc1ccccc1
746,CN(C)S(=O)(=O)Nc1ccc(Cl)c(Cl)c1
747,COc1cc(SC)ccc1C(=O)NC1CCCC1
748,O=C(Cc1ccc(Br)cc1)Nc1nccs1
749,COc1cc(SC)ccc1C(=O)Nc1nccs1
750,CN(C)S(=O)(=O)N1CCC(Cc2ccccc2)CC1
751,CN(C)S(=O)(=O)Nc1ccc(Br)cc1
752,CN(C)S(=O)(=O)N1CCN(c2ccc(F)cc2)CC1
753,CC(C)CC(=O)N1CCN(c2ccc(F)cc2)CC1
754,CCC(C)C(=O)N1CCN(c2ccc(F)cc2)CC1
755,COc1ccccc1CNC(=O)Cc1cccs1
756,COc1ccccc1CNC(=O)C(C)Oc1ccccc1
757,CCN(Cc1ccccc1)C(=O)C(C)Oc1ccccc1
758,Cc1ccnc(NC(=O)Cc2ccc(Cl)cc2)c1
759,O=C(Cc1ccc(Br)cc1)N1CCCC1
760,CCOc1ccc(NC(=O)Cc2cccs2)cc1
761,CC(Oc1ccccc1)C(=O)N(C)c1ccccc1
762,CCN(CC)C(=O)Cc1ccc(Br)cc1
763,O=C(Cc1ccc(Cl)cc1)NCc1cccnc1
764,CCC(C(=O)NCc1cccnc1)c1ccccc1
765,CC(Oc1ccccc1)C(=O)Nc1ccc(F)cc1
766,CC(C)CC(=O)N(Cc1ccccc1)c1ccccn1
767,COc1ccc(Cl)cc1NC(=O)Cc1cccs1
768,COc1ccc(Cl)cc1NS(=O)(=O)N(C)C
769,CC(=O)c1ccc(NC(=O)Cc2ccc(Cl)cc2)cc1
770,CC(=O)c1ccc(NC(=O)Cc2cccs2)cc1
771,CC(=O)c1ccc(NC(=O)C(C)Oc2ccccc2)cc1
772,CCOC(=O)C1CCN(C(=O)Cc2ccc(Cl)cc2)CC1
773,CCOC(=O)C1CCN(C(=O)CCc2ccccc2)CC1
774,CCOC(=O)C1CCN(C(=O)Cc2cccs2)CC1
